Tipo Titulo,Vencimento do Titulo,Data Venda,PU,Quantidade,Valor
Tesouro Selic,01/09/2024,03/03/2021,"10728,55696","5914,07","63449436,87"
Tesouro Selic,01/09/2024,04/03/2021,"10729,84522","3156,34","33867039,66"
Tesouro Selic,01/03/2027,04/03/2021,"10582,34571","2786,96","29492574,2"
Tesouro Selic,01/09/2024,16/03/2021,"10735,94009","2154,64","23132085,94"
Tesouro Selic,01/03/2027,16/03/2021,"10583,63235","2198,67","23269914,92"
Tesouro Selic,01/03/2025,26/11/2020,"10640,33362","2639,32","28083245,33"
Tesouro Selic,01/03/2025,27/11/2020,"10641,13485","2623,87","27920954,49"
Tesouro Selic,01/03/2027,26/09/2022,"12118,42327","4034,05","48886325,39"
Tesouro Selic,01/03/2025,26/09/2022,"12188,14529","3895,46","47478432,46"
Tesouro Selic,01/03/2027,27/09/2022,"12125,55261","4311,5","52279320,07"
Tesouro Selic,01/03/2025,27/09/2022,"12194,83293",4074,"49681749,33"
Tesouro Selic,01/03/2027,28/09/2022,"12132,8125","3602,62","43709912,97"
Tesouro Selic,01/03/2025,28/09/2022,"12201,48273","3388,27","41341917,88"
Tesouro Selic,01/03/2027,04/07/2022,"11764,56055","4930,4","58003989,34"
Tesouro Selic,01/03/2025,05/07/2022,"11825,19448","5738,93","67863963,35"
Tesouro Selic,01/03/2027,05/07/2022,"11769,85837","5192,7","61117343,56"
Tesouro Selic,01/03/2025,06/07/2022,"11831,23296","4479,29","52995523,48"
Tesouro Selic,01/03/2027,06/07/2022,"11775,3811","4429,48","52158815,08"
Tesouro Selic,01/03/2027,17/06/2022,"11696,32109","3974,3","46484688,88"
Tesouro Selic,01/03/2025,17/06/2022,"11751,55347","4103,29","48220031,81"
Tesouro Selic,07/03/2017,18/04/2011,"4639,139684","107,6","499171,42"
Tesouro Selic,07/03/2015,18/04/2011,"4639,139214","262,4","1217310,12"
Tesouro Selic,07/03/2017,19/04/2011,"4641,169382","116,6","541160,34"
Tesouro Selic,07/03/2015,19/04/2011,"4641,169196",224,"1039621,89"
Tesouro Selic,07/03/2017,29/06/2011,"4742,179729","140,6","666750,46"
Tesouro Selic,07/03/2017,30/06/2011,"4744,338941",85,"403268,8"
Tesouro Selic,07/03/2015,30/06/2011,"4744,33925",360,"1707962,13"
Tesouro Selic,07/03/2017,30/03/2011,"4612,8","54,4","250936,32"
Tesouro Selic,07/03/2017,31/03/2011,"4614,81941","98,4","454098,22"
Tesouro Selic,07/03/2015,31/03/2011,"4614,819274","226,2","1043872,11"
Tesouro Selic,07/03/2017,01/04/2011,"4616,838732","42,6","196677,32"
Tesouro Selic,07/03/2015,01/04/2011,"4616,83932","291,2","1344423,6"
Tesouro Selic,07/03/2017,20/04/2011,"4643,2","64,4","299022,08"
